"Var1" "Freq" "Porc"
"265" "Mayor's Office of Operations" 12 1.19853060148258e-06
"266" "RPIE Unit" 12 1.19853060148258e-06
"267" "School - August Martin High School" 12 1.19853060148258e-06
"268" "School - Benjamin N Cardozo High School" 12 1.19853060148258e-06
"269" "School - Frank McCourt High School" 12 1.19853060148258e-06
"270" "School - IS 181 Pablo Casals" 12 1.19853060148258e-06
"271" "School - JHS 216 George J Ryan" 12 1.19853060148258e-06
"272" "School - Juan Morel Campos Secondary School" 12 1.19853060148258e-06
"273" "School - MS 319 - Maria Teresa" 12 1.19853060148258e-06
"274" "School - New Explorations Science, Technology and Math High School" 12 1.19853060148258e-06
"275" "School - PS 114 Ryder Elementary" 12 1.19853060148258e-06
"276" "School - PS 126 Dr Marjorie H Dunbar" 12 1.19853060148258e-06
"277" "School - PS 133 William A Butler" 12 1.19853060148258e-06
"278" "School - PS 149 Sojourner Truth" 12 1.19853060148258e-06
"279" "School - PS 175 City Island" 12 1.19853060148258e-06
"280" "School - PS 175 Henry H Garnet" 12 1.19853060148258e-06
"281" "School - PS 198 Brooklyn" 12 1.19853060148258e-06
"282" "School - PS 20 Clinton Hill" 12 1.19853060148258e-06
"283" "School - PS 212 - Queens" 12 1.19853060148258e-06
"284" "School - PS 279 Captain Manuel Rivera Jr" 12 1.19853060148258e-06
"285" "School - PS 333 Manhattan School for Children" 12 1.19853060148258e-06
"286" "School - PS 346 Abe Stark" 12 1.19853060148258e-06
"287" "School - PS 75 Mayda Cortiella" 12 1.19853060148258e-06
"288" "School - PS 92 Adrian Hegeman" 12 1.19853060148258e-06
"289" "School - PS K225 The Eileen E Zaglin" 12 1.19853060148258e-06
"290" "School - PS-IS 116 William C Hughley" 12 1.19853060148258e-06
"291" "School - Urban Assembly Academy of Government and Law" 12 1.19853060148258e-06
"292" "3-1-1" 11 1.09865305135903e-06
"293" "School - Academy of Finance and Enterprise" 11 1.09865305135903e-06
"294" "School - Adlai E Stevenson High School" 11 1.09865305135903e-06
"295" "School - Bayside High School" 11 1.09865305135903e-06
"296" "School - Curtis High School" 11 1.09865305135903e-06
"297" "School - IS 211 John Wilson" 11 1.09865305135903e-06
"298" "School - IS 237" 11 1.09865305135903e-06
"299" "School - IS 339" 11 1.09865305135903e-06
"300" "School - IS 68 Isaac Bildersee" 11 1.09865305135903e-06
"301" "School - MS 51 William Alexander" 11 1.09865305135903e-06
"302" "School - Murry Bergtraum High School for Business Careers" 11 1.09865305135903e-06
"303" "School - PS 123" 11 1.09865305135903e-06
"304" "School - PS 129 Twin Parks Upper" 11 1.09865305135903e-06
"305" "School - PS 131 Brooklyn" 11 1.09865305135903e-06
"306" "School - PS 139 Rego Park" 11 1.09865305135903e-06
"307" "School - PS 15 Institute for Environmental Learning" 11 1.09865305135903e-06
"308" "School - PS 152 Dyckman Valley" 11 1.09865305135903e-06
"309" "School - PS 155 William Paca" 11 1.09865305135903e-06
"310" "School - PS 164 Caesar Rodney" 11 1.09865305135903e-06
"311" "School - PS 196 Grand Central Parkway" 11 1.09865305135903e-06
"312" "School - PS 206 The Horace Harding School" 11 1.09865305135903e-06
"313" "School - PS 212 Lady Deborah Moody" 11 1.09865305135903e-06
